Category,YTD,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
SERVICE,10362.25,873.00,803.50,787.50,896.25,796.75,1036.00,956.00,944.00,973.50,1003.75,633.50,658.50
Flat Repair,530.00,60.00,53.00,48.00,48.00,39.00,40.00,26.00,34.00,47.00,25.00,53.00,57.00
Tire Rotation,241.00,0,5.00,0,2.00,16.00,5.00,74.00,29.00,22.00,37.00,21.00,30.00
Mount and Dismount,6716.00,748.00,613.00,539.00,657.00,488.00,621.00,528.00,524.00,569.00,620.00,383.00,426.00
Service Call Hours,1919.25,46.00,100.50,142.50,138.25,175.75,243.00,201.00,227.00,216.50,225.75,112.50,90.50
Scrap,956.00,19.00,32.00,58.00,51.00,78.00,127.00,127.00,130.00,119.00,96.00,64.00,55.00
BANDAG RETREADS,2.00,0,0,0,0,0,0,0,1.00,0,0,0,1.00
245/70R17.5 RETREAD,1.00,0,0,0,0,0,0,0,0,0,0,0,1.00
295/75R22.5 RETREAD,1.00,0,0,0,0,0,0,0,1.00,0,0,0,0
RETREAD + CASINGS,39.00,0,0,17.00,18.00,0,0,0,1.00,1.00,0,0,2.00
10.00-20 CAP & CASING,0,0,0,0,0,0,0,0,0,0,0,0,0
11R22.5 CAP & CASING,0,0,0,0,0,0,0,0,0,0,0,0,0
295/75R22.5 CAP & CASING,39.00,0,0,17.00,18.00,0,0,0,1.00,1.00,0,0,2.00
REPAIR ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW TIRES,66396.00,3524.00,3739.00,4518.00,4468.00,4840.00,5902.00,6443.00,6777.00,7159.00,7161.00,5862.00,6003.00
BRIDGESTONE,4888.00,468.00,372.00,307.00,439.00,349.00,478.00,456.00,388.00,478.00,504.00,334.00,315.00
Light Truck BRIDGESTONE,0,0,0,0,0,0,0,0,0,0,0,0,0
225/70R19.5 BRIDGESTONE,7.00,0,0,0,2.00,1.00,0,0,0,0,4.00,0,0
245/70R17.5 BRIDGESTONE,1375.00,105.00,92.00,44.00,123.00,106.00,159.00,172.00,138.00,171.00,132.00,85.00,48.00
9R22.5 BRIDGESTONE,0,0,0,0,0,0,0,0,0,0,0,0,0
295/75R22.5 BRIDGESTONE,2893.00,305.00,226.00,226.00,218.00,225.00,266.00,230.00,216.00,248.00,291.00,217.00,225.00
11R22.5 BRIDGESTONE,28.00,1.00,0,2.00,87.00,0,6.00,0,0,6.00,0,3.00,1.00
OTHER BRIDGESTONE,585.00,57.00,54.00,35.00,9.00,17.00,47.00,54.00,34.00,53.00,77.00,29.00,41.00
10.00-20,0,0,0,0,0,0,0,0,0,0,0,0,0
YOKOHAMA TIRES,691.00,54.00,59.00,66.00,84.00,29.00,103.00,56.00,65.00,46.00,29.00,46.00,54.00
CONTINENTAL TIRES,116.00,16.00,2.00,4.00,4.00,7.00,22.00,15.00,25.00,11.00,10.00,0,0
HANKOOK TIRES,59754.00,2910.00,3221.00,4081.00,3825.00,4414.00,5224.00,5834.00,6228.00,6525.00,6500.00,5439.00,5553.00
MISC NEW TIRES,947.00,76.00,85.00,60.00,116.00,41.00,75.00,82.00,71.00,99.00,118.00,43.00,81.00
BS STEER-NEW TIRE,2287.00,201.00,192.00,99.00,238.00,151.00,253.00,252.00,204.00,250.00,213.00,131.00,103.00
BS DRIVE-NEW TIRE,918.00,125.00,69.00,70.00,74.00,83.00,96.00,74.00,46.00,69.00,129.00,32.00,51.00
BS TRAILER-NEW TIRE,1683.00,142.00,111.00,138.00,127.00,115.00,129.00,130.00,138.00,159.00,162.00,171.00,161.00
